820274111665000 now, 820274111269400 lastTime,0.07722400000000618 delta
820274484434200 now, 820274484046400 lastTime,0.4433760000000072 delta
820274484829100 now, 820274484434200 lastTime,0.4670700000000072 delta
820274485227100 now, 820274484829100 lastTime,0.4909500000000072 delta
820274485629300 now, 820274485227100 lastTime,0.5150820000000073 delta
820274486029000 now, 820274485629300 lastTime,0.5390640000000072 delta
820274486481500 now, 820274486029000 lastTime,0.5662140000000072 delta
820274486892000 now, 820274486481500 lastTime,0.5908440000000073 delta
820274487291600 now, 820274486892000 lastTime,0.6148200000000072 delta
820274487689800 now, 820274487291600 lastTime,0.6387120000000073 delta
820274488126000 now, 820274487689800 lastTime,0.6648840000000072 delta
820274488608100 now, 820274488126000 lastTime,0.6938100000000073 delta
820274489002100 now, 820274488608100 lastTime,0.7174500000000072 delta
820274489399200 now, 820274489002100 lastTime,0.7412760000000073 delta
820274489801400 now, 820274489399200 lastTime,0.7654080000000073 delta
820274490322200 now, 820274489801400 lastTime,0.7966560000000074 delta
820274490684800 now, 820274490322200 lastTime,0.8184120000000074 delta
820274491089600 now, 820274490684800 lastTime,0.8427000000000073 delta
820274491483800 now, 820274491089600 lastTime,0.8663520000000073 delta
820274491880400 now, 820274491483800 lastTime,0.8901480000000074 delta
820274492280600 now, 820274491880400 lastTime,0.9141600000000074 delta
820274492681300 now, 820274492280600 lastTime,0.9382020000000074 delta
820274493077000 now, 820274492681300 lastTime,0.9619440000000075 delta
820274493474400 now, 820274493077000 lastTime,0.9857880000000074 delta
820274493874000 now, 820274493474400 lastTime,1.0097640000000074 delta
820274494272300 now, 820274493874000 lastTime,0.033662000000007436 delta
820274494668300 now, 820274494272300 lastTime,0.05742200000000744 delta
820274495067700 now, 820274494668300 lastTime,0.08138600000000744 delta
820274495464000 now, 820274495067700 lastTime,0.10516400000000745 delta
820274495859100 now, 820274495464000 lastTime,0.12887000000000745 delta
820274496255800 now, 820274495859100 lastTime,0.15267200000000744 delta
820274496651100 now, 820274496255800 lastTime,0.17639000000000743 delta
820274497047800 now, 820274496651100 lastTime,0.20019200000000742 delta
820274497443100 now, 820274497047800 lastTime,0.2239100000000074 delta
820274497915100 now, 820274497443100 lastTime,0.2522300000000074 delta
820274498369000 now, 820274497915100 lastTime,0.2794640000000074 delta
820274499257100 now, 820274498369000 lastTime,0.3327500000000074 delta
820274499738300 now, 820274499257100 lastTime,0.3616220000000074 delta
820274500076800 now, 820274499738300 lastTime,0.3819320000000074 delta
820274500469700 now, 820274500076800 lastTime,0.40550600000000736 delta
820274500867400 now, 820274500469700 lastTime,0.42936800000000735 delta
820274501262200 now, 820274500867400 lastTime,0.45305600000000734 delta
820274501657300 now, 820274501262200 lastTime,0.47676200000000735 delta
820274502054900 now, 820274501657300 lastTime,0.5006180000000073 delta
820274502487100 now, 820274502054900 lastTime,0.5265500000000073 delta
820274502844000 now, 820274502487100 lastTime,0.5479640000000073 delta
820274503240300 now, 820274502844000 lastTime,0.5717420000000073 delta
820274503635100 now, 820274503240300 lastTime,0.5954300000000073 delta
820274504029900 now, 820274503635100 lastTime,0.6191180000000074 delta
820274504424900 now, 820274504029900 lastTime,0.6428180000000074 delta
820274504821700 now, 820274504424900 lastTime,0.6666260000000075 delta
820274505215200 now, 820274504821700 lastTime,0.6902360000000075 delta
820274505612000 now, 820274505215200 lastTime,0.7140440000000076 delta
820274506075400 now, 820274505612000 lastTime,0.7418480000000076 delta
820274506471300 now, 820274506075400 lastTime,0.7656020000000077 delta
820274506900800 now, 820274506471300 lastTime,0.7913720000000076 delta
820274507294300 now, 820274506900800 lastTime,0.8149820000000076 delta
820274507694300 now, 820274507294300 lastTime,0.8389820000000077 delta
820274508132400 now, 820274507694300 lastTime,0.8652680000000077 delta
820274508523700 now, 820274508132400 lastTime,0.8887460000000077 delta
820274508921100 now, 820274508523700 lastTime,0.9125900000000077 delta
820274509316000 now, 820274508921100 lastTime,0.9362840000000077 delta
820274509711400 now, 820274509316000 lastTime,0.9600080000000076 delta
820274510108000 now, 820274509711400 lastTime,0.9838040000000077 delta
820274510503300 now, 820274510108000 lastTime,1.0075220000000076 delta
820274510898900 now, 820274510503300 lastTime,0.03125800000000758 delta
820274511292800 now, 820274510898900 lastTime,0.05489200000000758 delta
820274511687200 now, 820274511292800 lastTime,0.07855600000000758 delta
820274512078300 now, 820274511687200 lastTime,0.10202200000000758 delta
820274512469600 now, 820274512078300 lastTime,0.12550000000000758 delta
820274512859500 now, 820274512469600 lastTime,0.14889400000000758 delta
820274513247900 now, 820274512859500 lastTime,0.17219800000000757 delta
820274513640000 now, 820274513247900 lastTime,0.19572400000000756 delta
820274514030100 now, 820274513640000 lastTime,0.21913000000000757 delta
820274514451100 now, 820274514030100 lastTime,0.24439000000000757 delta
820274514819700 now, 820274514451100 lastTime,0.26650600000000757 delta
820274515215000 now, 820274514819700 lastTime,0.2902240000000076 delta
820274516329800 now, 820274515215000 lastTime,0.3571120000000076 delta
820274516717500 now, 820274516329800 lastTime,0.3803740000000076 delta
820274517106000 now, 820274516717500 lastTime,0.4036840000000076 delta
820274517551400 now, 820274517106000 lastTime,0.4304080000000076 delta
820274517935700 now, 820274517551400 lastTime,0.45346600000000764 delta
820274518323600 now, 820274517935700 lastTime,0.47674000000000766 delta
820274518716800 now, 820274518323600 lastTime,0.5003320000000077 delta
820274519107100 now, 820274518716800 lastTime,0.5237500000000077 delta
820274519498200 now, 820274519107100 lastTime,0.5472160000000077 delta
820274519889000 now, 820274519498200 lastTime,0.5706640000000077 delta
820274520280000 now, 820274519889000 lastTime,0.5941240000000078 delta
820274520670800 now, 820274520280000 lastTime,0.6175720000000078 delta
820274521061600 now, 820274520670800 lastTime,0.6410200000000078 delta
820274521590100 now, 820274521061600 lastTime,0.6727300000000078 delta
820274521908500 now, 820274521590100 lastTime,0.6918340000000078 delta
820274522298300 now, 820274521908500 lastTime,0.7152220000000078 delta
820274522690500 now, 820274522298300 lastTime,0.7387540000000078 delta
820274523080400 now, 820274522690500 lastTime,0.7621480000000078 delta
820274523473200 now, 820274523080400 lastTime,0.7857160000000079 delta
820274523864600 now, 820274523473200 lastTime,0.8092000000000078 delta
820274524254800 now, 820274523864600 lastTime,0.8326120000000078 delta
820274524650100 now, 820274524254800 lastTime,0.8563300000000078 delta
820274525038600 now, 820274524650100 lastTime,0.8796400000000079 delta
820274525430600 now, 820274525038600 lastTime,0.9031600000000078 delta
820274525819800 now, 820274525430600 lastTime,0.9265120000000079 delta
820274526211800 now, 820274525819800 lastTime,0.9500320000000079 delta
820274526602600 now, 820274526211800 lastTime,0.9734800000000079 delta
820274526992600 now, 820274526602600 lastTime,0.9968800000000079 delta
820274527384100 now, 820274526992600 lastTime,1.0203700000000078 delta
820274527773200 now, 820274527384100 lastTime,0.043716000000007776 delta
820274528276300 now, 820274527773200 lastTime,0.07390200000000778 delta
820274528645900 now, 820274528276300 lastTime,0.09607800000000778 delta
820274529036300 now, 820274528645900 lastTime,0.11950200000000778 delta
820274529433000 now, 820274529036300 lastTime,0.1433040000000078 delta
820274529826600 now, 820274529433000 lastTime,0.16692000000000778 delta
820274530220800 now, 820274529826600 lastTime,0.1905720000000078 delta
820274530616700 now, 820274530220800 lastTime,0.2143260000000078 delta
820274531023700 now, 820274530616700 lastTime,0.23874600000000779 delta
820274531415300 now, 820274531023700 lastTime,0.2622420000000078 delta
820274531816500 now, 820274531415300 lastTime,0.2863140000000078 delta
820274532579100 now, 820274531816500 lastTime,0.3320700000000078 delta
820274532978400 now, 820274532579100 lastTime,0.3560280000000078 delta
820274533412500 now, 820274532978400 lastTime,0.3820740000000078 delta
820274533806700 now, 820274533412500 lastTime,0.4057260000000078 delta
820274534203500 now, 820274533806700 lastTime,0.4295340000000078 delta
820274534599600 now, 820274534203500 lastTime,0.4533000000000078 delta
820274534995200 now, 820274534599600 lastTime,0.4770360000000078 delta
820274535396400 now, 820274534995200 lastTime,0.5011080000000078 delta
820274535787900 now, 820274535396400 lastTime,0.5245980000000078 delta
820274536218500 now, 820274535787900 lastTime,0.5504340000000078 delta
820274536577600 now, 820274536218500 lastTime,0.5719800000000077 delta
820274536973200 now, 820274536577600 lastTime,0.5957160000000077 delta
820274537559300 now, 820274536973200 lastTime,0.6308820000000077 delta
820274537998600 now, 820274537559300 lastTime,0.6572400000000077 delta
820274538576200 now, 820274537998600 lastTime,0.6918960000000077 delta
820274538930200 now, 820274538576200 lastTime,0.7131360000000078 delta
820274539374800 now, 820274538930200 lastTime,0.7398120000000078 delta
820274539763700 now, 820274539374800 lastTime,0.7631460000000078 delta
820274540160500 now, 820274539763700 lastTime,0.7869540000000078 delta
820274540554800 now, 820274540160500 lastTime,0.8106120000000078 delta
820274540953200 now, 820274540554800 lastTime,0.8345160000000078 delta
820274541343100 now, 820274540953200 lastTime,0.8579100000000078 delta
820274541739500 now, 820274541343100 lastTime,0.8816940000000079 delta
820274542136000 now, 820274541739500 lastTime,0.9054840000000078 delta
820274542532600 now, 820274542136000 lastTime,0.9292800000000079 delta
820274542922000 now, 820274542532600 lastTime,0.9526440000000079 delta
820274543318900 now, 820274542922000 lastTime,0.9764580000000079 delta
820274543715500 now, 820274543318900 lastTime,1.000254000000008 delta
820274544110900 now, 820274543715500 lastTime,0.023978000000007972 delta
820274544505300 now, 820274544110900 lastTime,0.04764200000000797 delta
820274544898800 now, 820274544505300 lastTime,0.07125200000000798 delta
820274545296500 now, 820274544898800 lastTime,0.09511400000000797 delta
820274545692900 now, 820274545296500 lastTime,0.11889800000000797 delta
820274546287400 now, 820274545692900 lastTime,0.15456800000000798 delta
820274547607700 now, 820274546287400 lastTime,0.233786000000008 delta
820274547775300 now, 820274547607700 lastTime,0.243842000000008 delta
820274547927400 now, 820274547775300 lastTime,0.252968000000008 delta
820274548331000 now, 820274547927400 lastTime,0.27718400000000804 delta
820274548857600 now, 820274548331000 lastTime,0.30878000000000805 delta
820274549646800 now, 820274548857600 lastTime,0.35613200000000805 delta
820274550095300 now, 820274549646800 lastTime,0.38304200000000804 delta
820274550490100 now, 820274550095300 lastTime,0.40673000000000803 delta
820274550890700 now, 820274550490100 lastTime,0.43076600000000803 delta
820274551289200 now, 820274550890700 lastTime,0.454676000000008 delta
820274551849300 now, 820274551289200 lastTime,0.48828200000000804 delta
820274552076700 now, 820274551849300 lastTime,0.5019260000000081 delta
820274552544300 now, 820274552076700 lastTime,0.5299820000000081 delta
820274552931000 now, 820274552544300 lastTime,0.5531840000000081 delta
820274553323400 now, 820274552931000 lastTime,0.5767280000000081 delta
820274553726300 now, 820274553323400 lastTime,0.6009020000000082 delta
820274554118700 now, 820274553726300 lastTime,0.6244460000000082 delta
820274554515200 now, 820274554118700 lastTime,0.6482360000000081 delta
820274554926900 now, 820274554515200 lastTime,0.6729380000000081 delta
820274555320400 now, 820274554926900 lastTime,0.6965480000000082 delta
820274555688800 now, 820274555320400 lastTime,0.7186520000000082 delta
820274556087100 now, 820274555688800 lastTime,0.7425500000000081 delta
820274556518700 now, 820274556087100 lastTime,0.7684460000000082 delta
820274556915700 now, 820274556518700 lastTime,0.7922660000000081 delta
820274557386300 now, 820274556915700 lastTime,0.8205020000000082 delta
820274558029000 now, 820274557386300 lastTime,0.8590640000000082 delta
820274558423900 now, 820274558029000 lastTime,0.8827580000000081 delta
820274558835800 now, 820274558423900 lastTime,0.9074720000000082 delta
820274559235100 now, 820274558835800 lastTime,0.9314300000000082 delta
820274559629700 now, 820274559235100 lastTime,0.9551060000000082 delta
820274560042900 now, 820274559629700 lastTime,0.9798980000000083 delta
820274560440900 now, 820274560042900 lastTime,1.0037780000000083 delta
820274560837200 now, 820274560440900 lastTime,0.027556000000008275 delta
820274561234100 now, 820274560837200 lastTime,0.05137000000000828 delta
820274561630400 now, 820274561234100 lastTime,0.07514800000000828 delta
820274562027400 now, 820274561630400 lastTime,0.09896800000000827 delta
820274562423300 now, 820274562027400 lastTime,0.12272200000000827 delta
820274562818000 now, 820274562423300 lastTime,0.14640400000000828 delta
820274563216300 now, 820274562818000 lastTime,0.17030200000000828 delta
820274563615200 now, 820274563216300 lastTime,0.1942360000000083 delta
820274564009800 now, 820274563615200 lastTime,0.2179120000000083 delta
820274564443300 now, 820274564009800 lastTime,0.2439220000000083 delta
820274564906800 now, 820274564443300 lastTime,0.2717320000000083 delta
820274565869100 now, 820274564906800 lastTime,0.3294700000000083 delta
820274566573000 now, 820274565869100 lastTime,0.3717040000000083 delta
820274566986500 now, 820274566573000 lastTime,0.3965140000000083 delta
820274567382900 now, 820274566986500 lastTime,0.4202980000000083 delta
820274567783500 now, 820274567382900 lastTime,0.4443340000000083 delta
820274568747500 now, 820274567783500 lastTime,0.5021740000000083 delta
820274568874900 now, 820274568747500 lastTime,0.5098180000000083 delta
820274569121400 now, 820274568874900 lastTime,0.5246080000000083 delta
820274569519400 now, 820274569121400 lastTime,0.5484880000000083 delta
820274569916800 now, 820274569519400 lastTime,0.5723320000000083 delta
820274570313900 now, 820274569916800 lastTime,0.5961580000000083 delta
820274570709700 now, 820274570313900 lastTime,0.6199060000000083 delta
820274571121400 now, 820274570709700 lastTime,0.6446080000000083 delta
820274571519600 now, 820274571121400 lastTime,0.6685000000000083 delta
820274571914400 now, 820274571519600 lastTime,0.6921880000000084 delta
820274572311700 now, 820274571914400 lastTime,0.7160260000000084 delta
820274572710700 now, 820274572311700 lastTime,0.7399660000000083 delta
820274573106900 now, 820274572710700 lastTime,0.7637380000000084 delta
820274573507500 now, 820274573106900 lastTime,0.7877740000000084 delta
820274573901500 now, 820274573507500 lastTime,0.8114140000000084 delta
820274574297900 now, 820274573901500 lastTime,0.8351980000000084 delta
820274574694500 now, 820274574297900 lastTime,0.8589940000000085 delta
820274575090700 now, 820274574694500 lastTime,0.8827660000000085 delta
820274575487300 now, 820274575090700 lastTime,0.9065620000000085 delta
820274575883500 now, 820274575487300 lastTime,0.9303340000000085 delta
820274576281600 now, 820274575883500 lastTime,0.9542200000000085 delta
820274576710100 now, 820274576281600 lastTime,0.9799300000000085 delta
820274577105900 now, 820274576710100 lastTime,1.0036780000000085 delta
820274577530000 now, 820274577105900 lastTime,0.029124000000008508 delta
820274577938100 now, 820274577530000 lastTime,0.05361000000000851 delta
820274578485900 now, 820274577938100 lastTime,0.08647800000000852 delta
820274578886200 now, 820274578485900 lastTime,0.11049600000000852 delta
820274579275000 now, 820274578886200 lastTime,0.13382400000000852 delta
820274579662000 now, 820274579275000 lastTime,0.1570440000000085 delta
820274580053000 now, 820274579662000 lastTime,0.18050400000000852 delta
820274580442000 now, 820274580053000 lastTime,0.20384400000000852 delta
820274580834700 now, 820274580442000 lastTime,0.22740600000000852 delta
820274581277400 now, 820274580834700 lastTime,0.2539680000000085 delta
820274581748600 now, 820274581277400 lastTime,0.28224000000000854 delta
820274582607700 now, 820274581748600 lastTime,0.3337860000000085 delta
820274583549200 now, 820274582607700 lastTime,0.3902760000000085 delta
820274584020400 now, 820274583549200 lastTime,0.4185480000000085 delta
820274584368700 now, 820274584020400 lastTime,0.43944600000000855 delta
820274585028200 now, 820274584368700 lastTime,0.47901600000000855 delta
820274585243200 now, 820274585028200 lastTime,0.49191600000000857 delta
820274585593200 now, 820274585243200 lastTime,0.5129160000000086 delta
820274586015100 now, 820274585593200 lastTime,0.5382300000000085 delta
820274586455700 now, 820274586015100 lastTime,0.5646660000000085 delta
820274586907400 now, 820274586455700 lastTime,0.5917680000000085 delta
820274587391600 now, 820274586907400 lastTime,0.6208200000000085 delta
820274587870400 now, 820274587391600 lastTime,0.6495480000000085 delta
820274588299600 now, 820274587870400 lastTime,0.6753000000000084 delta
820274588746200 now, 820274588299600 lastTime,0.7020960000000085 delta
820274589181900 now, 820274588746200 lastTime,0.7282380000000085 delta
820274589644400 now, 820274589181900 lastTime,0.7559880000000085 delta
820274590073500 now, 820274589644400 lastTime,0.7817340000000086 delta
820274590549200 now, 820274590073500 lastTime,0.8102760000000085 delta
820274590979200 now, 820274590549200 lastTime,0.8360760000000086 delta
820274591414500 now, 820274590979200 lastTime,0.8621940000000086 delta
820274591807000 now, 820274591414500 lastTime,0.8857440000000085 delta
820274592201800 now, 820274591807000 lastTime,0.9094320000000086 delta
820274592629100 now, 820274592201800 lastTime,0.9350700000000086 delta
820274593020900 now, 820274592629100 lastTime,0.9585780000000086 delta
820274593460800 now, 820274593020900 lastTime,0.9849720000000086 delta
820274593842700 now, 820274593460800 lastTime,1.0078860000000087 delta
820274594235300 now, 820274593842700 lastTime,0.03144200000000872 delta
820274594625200 now, 820274594235300 lastTime,0.054836000000008725 delta
820274595016600 now, 820274594625200 lastTime,0.07832000000000873 delta
820274595410800 now, 820274595016600 lastTime,0.10197200000000872 delta
820274595802500 now, 820274595410800 lastTime,0.12547400000000872 delta
820274596195500 now, 820274595802500 lastTime,0.1490540000000087 delta
820274596592500 now, 820274596195500 lastTime,0.17287400000000872 delta
820274596986300 now, 820274596592500 lastTime,0.19650200000000873 delta
820274597378300 now, 820274596986300 lastTime,0.2200220000000087 delta
820274597773300 now, 820274597378300 lastTime,0.2437220000000087 delta
820274598406600 now, 820274597773300 lastTime,0.28172000000000874 delta
820274599698200 now, 820274598406600 lastTime,0.35921600000000875 delta
820274600163600 now, 820274599698200 lastTime,0.38714000000000875 delta
820274600550800 now, 820274600163600 lastTime,0.41037200000000873 delta
820274601007500 now, 820274600550800 lastTime,0.4377740000000087 delta
820274601338100 now, 820274601007500 lastTime,0.45761000000000873 delta
820274601729900 now, 820274601338100 lastTime,0.4811180000000087 delta
820274602123000 now, 820274601729900 lastTime,0.5047040000000087 delta
820274602514900 now, 820274602123000 lastTime,0.5282180000000087 delta
820274602909400 now, 820274602514900 lastTime,0.5518880000000087 delta
820274603302500 now, 820274602909400 lastTime,0.5754740000000087 delta
820274603697600 now, 820274603302500 lastTime,0.5991800000000087 delta
820274604089900 now, 820274603697600 lastTime,0.6227180000000087 delta
820274604484500 now, 820274604089900 lastTime,0.6463940000000087 delta
820274604876600 now, 820274604484500 lastTime,0.6699200000000087 delta
820274605269800 now, 820274604876600 lastTime,0.6935120000000088 delta
820274605662700 now, 820274605269800 lastTime,0.7170860000000088 delta
820274606057100 now, 820274605662700 lastTime,0.7407500000000088 delta
820274606448900 now, 820274606057100 lastTime,0.7642580000000088 delta
820274606843600 now, 820274606448900 lastTime,0.7879400000000087 delta
820274607233100 now, 820274606843600 lastTime,0.8113100000000087 delta
820274607759800 now, 820274607233100 lastTime,0.8429120000000088 delta
820274608147300 now, 820274607759800 lastTime,0.8661620000000088 delta
820274608535900 now, 820274608147300 lastTime,0.8894780000000088 delta
820274608929400 now, 820274608535900 lastTime,0.9130880000000088 delta
820274609322200 now, 820274608929400 lastTime,0.9366560000000088 delta
820274609716800 now, 820274609322200 lastTime,0.9603320000000088 delta
820274610111500 now, 820274609716800 lastTime,0.9840140000000088 delta
820274610534400 now, 820274610111500 lastTime,1.0093880000000088 delta
820274611268900 now, 820274610534400 lastTime,0.05345800000000884 delta
820274611979300 now, 820274611268900 lastTime,0.09608200000000884 delta
820274612156500 now, 820274611979300 lastTime,0.10671400000000884 delta
820274612459300 now, 820274612156500 lastTime,0.12488200000000885 delta
820274612847900 now, 820274612459300 lastTime,0.14819800000000885 delta
820274613239200 now, 820274612847900 lastTime,0.17167600000000885 delta
820274613629300 now, 820274613239200 lastTime,0.19508200000000886 delta
820274614019200 now, 820274613629300 lastTime,0.21847600000000886 delta
820274614410200 now, 820274614019200 lastTime,0.24193600000000887 delta
820274614886000 now, 820274614410200 lastTime,0.2704840000000089 delta
820274615280500 now, 820274614886000 lastTime,0.2941540000000089 delta
820274616543300 now, 820274615280500 lastTime,0.3699220000000089 delta
820274616881300 now, 820274616543300 lastTime,0.39020200000000893 delta
820274617264500 now, 820274616881300 lastTime,0.41319400000000894 delta
820274617657300 now, 820274617264500 lastTime,0.4367620000000089 delta
820274618094300 now, 820274617657300 lastTime,0.46298200000000894 delta
820274618595900 now, 820274618094300 lastTime,0.49307800000000895 delta
820274618982100 now, 820274618595900 lastTime,0.516250000000009 delta
820274619371600 now, 820274618982100 lastTime,0.539620000000009 delta
820274619759300 now, 820274619371600 lastTime,0.562882000000009 delta
820274620150200 now, 820274619759300 lastTime,0.586336000000009 delta
820274620538500 now, 820274620150200 lastTime,0.609634000000009 delta
820274620927700 now, 820274620538500 lastTime,0.632986000000009 delta
820274621316700 now, 820274620927700 lastTime,0.6563260000000091 delta
820274621704800 now, 820274621316700 lastTime,0.6796120000000091 delta
820274622094600 now, 820274621704800 lastTime,0.7030000000000091 delta
820274622483500 now, 820274622094600 lastTime,0.726334000000009 delta
820274622871600 now, 820274622483500 lastTime,0.7496200000000091 delta
820274623260700 now, 820274622871600 lastTime,0.772966000000009 delta
820274623651100 now, 820274623260700 lastTime,0.796390000000009 delta
820274624038200 now, 820274623651100 lastTime,0.819616000000009 delta
820274624426400 now, 820274624038200 lastTime,0.842908000000009 delta
820274624816100 now, 820274624426400 lastTime,0.866290000000009 delta
820274625204900 now, 820274624816100 lastTime,0.889618000000009 delta
820274625596800 now, 820274625204900 lastTime,0.913132000000009 delta
820274625984000 now, 820274625596800 lastTime,0.9363640000000091 delta
820274626376500 now, 820274625984000 lastTime,0.959914000000009 delta
820274626768000 now, 820274626376500 lastTime,0.983404000000009 delta
820274627244300 now, 820274626768000 lastTime,1.011982000000009 delta
